ID,Sentence_Type,Sentence_Original,STANDARD_TRANSCRIPT,vosk-model-small-en-us-0.15,Wav2vec2,HuBERT,Whisper_Base-En,Whisper_Large-v3-EN,Azure
46,declaritive,THANK YOU VERY MUCH.,THANK YOU VERY MUCH,THANK YOU VERY MUCH,THANK YOU VERY MUCH,THANK YOU VERY MUCH, THANK YOU VERY MUCH,THANK YOU VERY MUCH,THANK YOU VERY MUCH
47,interrogative,CAN YOU GO TO THE STADIUM?,CAN YOU GO TO THE STADIUM,CAN YOU GO DO THAT TOO YEAH,CAN YE GO TO THU STADYA,CAN YOU GO TO DHOSTADIA, CAN YOU GO TO THE STADIUM,CAN YOU GO TO THE STADIUM,CAN YOU GO TO THE STADIUM
48,interrogative,ANYTHING ELSE?,ANYTHING ELSE,ANYTHING ELSE,ANYTHING ELSE,ANYTHING ELSE, I'M GOING TO CUT IT,ANYTHING ELSE,ANYTHING ELSE
49,declaritive,THAT'S A GOOD PRICE.,THAT'S A GOOD PRICE,THAT'S A GOOD PRICE,THAT'S A GOOD PRIZE,THAT'S A GOOD PRICE, THAT'S A GOOD PRICE,THAT'S A GOOD PRIZE,THAT'S A GOOD PRICE
50,declaritive,IT IS ON THE FOOTBALL TEAM.,IT IS ON THE FOOTBALL TEAM,IN THE SOUND OF FOR FOURTEEN,AND TEY SOM THAT FORFAR CAME,AN DEY SON THE FULFALL CAME, AND THIS TIME THE 414,IT IS TIME FOR 14,IT IS ON THE FOOTBALL TEAM
51,declaritive,HERE YOU GO.,HERE YOU GO,HERE YOU GO,HEARNIN GO,HERE O GO, HERE YOU GO,HERE YOU GO,HERE YOU GO
52,declaritive,THEN TURN LEFT.,THEN TURN LEFT,THEY TURN LEFT,BON CAN RACK,BON TURN RAT, THEN TURN LEFT,THEN TURN LEFT,THEN TURN LEFT
53,exclamatory,WATCH OUT!,WATCH OUT,WATCH OUR,WHAT  OU,WATCH OUT, WATCH OUT,WATCH OUT,WATCH OUT
54,declaritive,I'M SO HUNGRY.,I'M SO HUNGRY,OH SO HUNGRY,ANME SO HUNGRY,I'M SO HUNGRY, I'M SO HUNGRY,I'M SO HUNGRY,I'M SO HUNGRY
55,declaritive,HE IS FROM KOREA.,HE IS FROM KOREA,IS RUN KOREA,HE IS FROM COLY,HE IS FROM CORIA, HE IS FROM KOREA,HE IS FROM KOREA,HE IS FROM KOREA
56,exclamatory,WATCH OUT!,WATCH OUT,WATCH OUT,FOR A CHILD,WATCH OUT, WATCH OUT,WATCH OUT,WATCH OUT
57,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN, I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN
58,interrogative,WHAT'S YOUR FAVORITE SPORT?,WHAT'S YOUR FAVORITE SPORT,WHAT YOU SAY BURST FORTH,WHAT YOUR SABOR FORTH,WHAT YOUR SABORS FOR, WATCH YOUR FABLES FOR IT,WHAT'S YOUR FAVORITE SPORT,WHAT'S YOUR FAVORITE SPORT
59,declaritive,I'M READY TO GO.,I'M READY TO GO,I AM READY TO GO,I'M READY TO GO,I'M READY TO GO, I'M READY TO GO,I'M READY TO GO,I'M READY TO GO
60,declaritive,THE ANIMAL CONTEST IS OVER.,THE ANIMAL CONTEST IS OVER,THE AN AMERICAN COMBAT IS OVER,THE ELEMAR COMPAST IS OVER,THE ANAMAR COMPAST IS OVER, THE LMR COMPASS IS OVER,THE NMR CONTEST IS OVER,THE ANIMAL CONTEST IS OVER
61,interrogative,WHAT ANIMAL IS THAT?,WHAT ANIMAL IS THAT,LOT OF EARNERS IS THAT,WHAT ANIMERS IS THA,WHAT ANIMALRS IS THAT, WHAT ANIMALS IS THAT,WHAT ANIMALS IS THAT,WHAT ANIMAL IS THAT
62,declaritive,"YES, PLEASE.",YES PLEASE,YES PLEASE,YES TO LIS,YES PAE, YES PLEASE,YES PLEASE,YES PLEASE
63,interrogative,WHO'S THERE?,WHO'S THERE,WHO'S THEY,FOR ER,O A, OOF,WHO'S THERE,WHO'S THERE
64,exclamatory,IT SURE IS!,IT SURE IS,IT SURE IS,IT HOUR IS,IT SHURE IS, IT SURE IS,IT SURE IS,IT SURE IS
65,interrogative,WHAT DO YOU EAT IN KOREA?,WHAT DO YOU EAT IN KOREA,WHY DO YOU HE USED IN KOREA,BAT DO YOU IT IN CORIA,WHAT DO YOU EAT IN CORIA, WHAT DO YOU EAT IN KOREA,WHAT DO YOU EAT IN KOREA,WHAT DO YOU EAT IN KOREA
66,interrogative,CAN YOU HELP US?,CAN YOU HELP US,CAN YOU HAVE BOSS,CAN YOU HAVE BOSS,CAN YOU HAV BOS, CAN YOU HAVE BOTH,CAN YOU HELP US,CAN YOU HELP US
67,interrogative,HOW'S THE WEATHER?,HOW'S THE WEATHER,OH OKAY,A THE RED,OU THE RET, THE,HOW TO,HOW'S THE WEATHER
68,interrogative,ARE YOU STILL TIRED?,ARE YOU STILL TIRED,WHY IS THERE A TIRE,ITE CIR,ARE YOU TEIR TIRE, ARE YOU STILL TIRED,ARE YOU STILL TIRED,ARE YOU STILL TIRED
69,declaritive,IT'S RAINY.,IT'S RAINY,THE TRAIN,E TRANY,INTHRANE, IT'S RAIN,IT'S RAINING,IT'S RAINY
70,declaritive,THE ANIMAL CONTEST IS OVER.,THE ANIMAL CONTEST IS OVER,THE ANIMAL CONTEST IT'S OVER,GE ANOL COMPAST EAT OLV,DE ANAL CONTEST IT O, THE ANIMAL CONTEST IS OVER,THE ANNUAL CONTEST IS OVER,THE ANIMAL CONTEST IS OVER
71,interrogative,CAN YOU GO TOMORROW MORNING?,CAN YOU GO TOMORROW MORNING,I'M YOUR CALL TOMORROW MORNING,CAN YOU GO TO MATO MONEY,CAN YOU GO TO MORROW MORNIN, CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING
72,declaritive,LET'S GO TOGETHER.,LET'S GO TOGETHER,THAT'S GO TO DEAD,LET GO TOGETH,LET GO TOGETHE, LET'S GO TOGETHER,LET'S GO TOGETHER,LET'S GO TOGETHER
73,interrogative,IS KUMAR THERE?,IS KUMAR THERE,HIS KUMAR THERE,IS COMAR THER,EIS CUMAR THERE, IS KUMALDAIR,IS KUMAR THERE,IS KUMAR THERE
74,interrogative,WHAT BIRD IS THAT?,WHAT BIRD IS THAT,FIVE NUMBERS EAT THAT,WILE VERSE ES DEAD,WAT BURS IS THAT, BLACK VS EASTAT,WHAT VERSE IS THAT,WHAT BIRD IS THAT
75,interrogative,DO YOU SEE THOSE TEETH?,DO YOU SEE THOSE TEETH,DO YOU SEE IT LAST KEITH,DO YOU SEE DOLLS TEE,DO YOU SEE THOSE TEET, DO YOU SEE THOSE TEETH,DO YOU SEE THOSE TEETH,DO YOU SEE THOSE TEETH
76,declaritive,SEE YOU THEN.,SEE YOU THEN,K YOU DAN,THEUDAM,SE YOU DAN, SEE YOU THEN,SEE YOU THEN,SEE YOU THEN
77,declaritive,"NOT BAD, THANKS.",NOT BAD THANKS,NOT BAD BANK,NOT BAD THING,NOT BAD THANG, NOT BAD THANKS,NOT BAD THANKS,NOT BAD THANKS
78,declaritive,SEE YOU ON TUESDAY.,SEE YOU ON TUESDAY,ON TUESDAY,DE ON TO SAY,SEE YOU ON TUESDAY, SEE YOU ON TUESDAY,SEE YOU ON TUESDAY,SEE YOU ON TUESDAY
79,declaritive,I'M SO HUNGRY.,I'M SO HUNGRY,I'M SO HUNGRY,IAM TO HUNGRY,IAM SO HUNGRY, I'M SO HUNGRY,I'M SO HUNGRY,I'M SO HUNGRY
80,declaritive,DON'T WORRY.,DON'T WORRY,SO LONELY,THOU MARLAT,TO MARLY, DON'T WORRY,DON'T WORRY,DON'T WORRY
81,exclamatory,SEE YOU THEN!,SEE YOU THEN,THEY THERE,E THOU,ABON, SEE YOU THEN,SEE YOU THEN,SEE YOU THEN
82,declaritive,"SORRY, I CAN'T.",SORRY I CAN'T,SORRY I CAN'T,SORRY I CAN'T,SORRY I CAN'T, SORRY I CAN'T,SORRY I CAN'T,SORRY I CAN'T
83,interrogative,WHO ARE THE WINNERS?,WHO ARE THE WINNERS,WHO ARE GIRL WE KNOW,WHO OU GO WE KNOW,WHO ARE TO WE KNOW, WHO ARE THE RENO,WHO ARE THE WIENERS,WHO ARE THE WINNERS
84,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I'M HAPPY TO DOREEN,I'M HAPPY TO JOIN,I AM HAPPY TO JOIN, I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN
85,interrogative,CAN YOU READ THE MESSAGE?,CAN YOU READ THE MESSAGE,THE LAST YEAR,O THE MASSY,AN YOU THE MASSE, AND YOU YOU MUST SEE,HELLO I'M MASSEY,CAN YOU READ THE MESSAGE
86,interrogative,CAN I HELP YOU?,CAN I HELP YOU,CARRIER VIEW,CAN I ELP BE,CAN I HELPO, CAN I HELP YOU,CAN I HELP YOU,CAN I HELP YOU
87,declaritive,LET'S WORK TOGETHER.,LET'S WORK TOGETHER,AND TO WORK TOGETHER,AT WORK TOGETHER,AT WORK TOGETHER, THAT'S WORK TOGETHER,LET'S WORK TOGETHER,LET'S WORK TOGETHER
88,declaritive,THAT COW HAS A LONG TAIL.,THAT COW HAS A LONG TAIL,YEAH BUT HOW HAS ALLOWED PAYABLE,GAFCAW HA A LAMCALE,THAT COW HAS A LONG PAY OL, THAT COW HAS A LONG TAIL,THAT COW HAS A LONG TAIL,THAT COW HAS A LONG TAIL
89,interrogative,ARE YOU STILL TIRED?,ARE YOU STILL TIRED,OR USE THE IT'S TIME,ARE YUSTET TIY,ARE YOU STE TIR, ARE YOU STILL TIRED,ARE YOU STILL TIRED,ARE YOU STILL TIRED
90,declaritive,I HAVE NO IDEA.,I HAVE NO IDEA,NO IDEA,I KNOW NO IKE,I HAV NO IDEA, I HAVE NO IDEA,I HAVE NO IDEA,I HAVE NO IDEA
91,exclamatory,LET'S CELEBRATE!,LET'S CELEBRATE,THAT'S A LOVELY,AN I SAT O BLAM,NACSER OF LAT, LET'S CELEBRATE,LET'S CELEBRATE,LET'S CELEBRATE
92,declaritive,SOUNDS LIKE FUN.,SOUNDS LIKE FUN,SOUNDS LIKE FUN,FOUND WHI FORM,SSOUNDS LIKE FUN, SOUNDS LIKE FUN,SOUNDS LIKE FUN,SOUNDS LIKE FUN
93,declaritive,I'M BUSY.,I'M BUSY,I MADE THE,I'M BITTY,I AM BEDA, I'M BUSY,I'M BUSY,I'M BUSY
94,declaritive,WE HAVE OUR LAST MESSAGE.,WE HAVE OUR LAST MESSAGE,THE WILL OUR LAST MERCY,WE HAVE OU WORD AS TO MISS,WE HAVE OURO LAST MESS, WE HAVE OUR LAST MESSAGE,WE HAVE OUR LAST MESSAGE,WE HAVE OUR LAST MESSAGE
95,interrogative,WHERE IS THE GATE?,WHERE IS THE GATE,THEY ARE A DAY,VERY EIL GET,WEARE IT TOU GATE, WE ARE IT AGAIN,WHERE IS THE GATE,WHERE IS THE GATE
96,declaritive,LET'S GO TO THE FARM.,LET'S GO TO THE FARM,THAT GO TO THE,THAT GO TO THE HOME,THAT GO TO THE FARM, LET'S GO TO THE FARM,LET'S GO TO THE FARM,LET'S GO TO THE FARM
97,declaritive,LET'S GET IN LINE.,LET'S GET IN LINE,LAST GAME IN HARARE,LET'S GETIN RING,LET'S GET IN RINE, LET'S GET IN YOUR ARMS,LET'S GET IN LINE,LET'S GET IN LINE
98,declaritive,LET'S TAKE THE BUS.,LET'S TAKE THE BUS,THE CLASS TAKE OF US,LETS TAKE OF US,LET'S TAKE TE BOSS, LET'S TAKE THE BUS,LET'S TAKE THE BUS,LET'S TAKE THE BUS
99,declaritive,"SORRY, WE DON'T HAVE ANY.",SORRY WE DON'T HAVE ANY,LOL REALLY DON'T HAVE ANY,ALREA HE DURN TO HIE IDY,LORY IF WE DON'T HAVE ANNY, LONG WAY WE DON'T HAVE ANY,SORRY WE DON'T HAVE ANY,SORRY WE DON'T HAVE ANY
100,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR DINNER,INDI YOUR MINNER,ENJOYED YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER
101,declaritive,IT'S YOUR SIZE.,IT'S YOUR SIZE,EACH YOUR FLIES,ICH YOU ARE FLIES,IT'S YOUR FLIES, IT'S YOUR FRIES,IT'S YOUR SIZE,IT'S YOUR SIZE
102,declaritive,I LIKE KOREAN FOOD.,I LIKE KOREAN FOOD,I LIKE KOREA AND THE FLU,I LIKE CAREER EFOAD,I LIKE CAREERA FOOD, I LIKE KOREAN FOOD,I LIKE KOREAN FOOD,I LIKE KOREAN FOOD
103,exclamatory,THAT'S RIGHT!,THAT'S RIGHT,THAT,THANT OR,THAT OR, THANKS,THAT'S RIGHT,THAT'S RIGHT
104,declaritive,I HAVE NO IDEA.,I HAVE NO IDEA,THEY HAVE ALL NO IDEA,I HAVE A NO IDEA,I HAVE A NO IDEA, I HAVE A KNOWN IDEA,I HAVE A KNOWN IDEA,I HAVE NO IDEA
105,interrogative,WHAT DOES IT SAY?,WHAT DOES IT SAY,ONE THOUSAND SAY,WAR THOSHE FAY,WHAT DARS HE SAY, WHAT DOES HE SAY,WHAT DOES HE SAY,WHAT DOES IT SAY
106,declaritive,"SORRY, I'M LATE.",SORRY I'M LATE,SORRY FOR LATE,SORRY PANPLAY,NORY FU LATE, SORRY I'M LATE,SORRY I'M LATE,SORRY I'M LATE
107,declaritive,IT'S TEN DOLLARS.,IT'S TEN DOLLARS,IT'S NOW,IT'S CANDALLA,IT'S TANDALA, IT'S $10,IT'S TEN DOLLARS,IT'S TEN DOLLARS
108,declaritive,THIS ANIMAL IS BIG AND SCARY.,THIS ANIMAL IS BIG AND SCARY,THIS ANYMORE IS IT AS GALLERY,IS ENIMAR IS IG AND SCALRY,THIS ANIMAR IS BIG AN SKARY, THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY
109,declaritive,WE HAVE THE NEXT MESSAGE.,WE HAVE THE NEXT MESSAGE,THREE HAVEN'T DONE THIS TO MY SAYS,TREE HABU TOUNES TO MESSAGE,WE HAVE  DOU NEXT A MESSAGE, WE HAVE DONE OUR NEXT MASSAGE,WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE
110,declaritive,THEN TURN LEFT.,THEN TURN LEFT,TO LAST,DANCER LEFT,THEN TURN LEFT, DAN TO THE LEFT,THEN TURN LEFT,THEN TURN LEFT
111,interrogative,CAN I HELP YOU?,CAN I HELP YOU,CAN I HIRE YOU,CAN I HARP YOU,CAN I HARP YOU, CAN I HARP YOU,CAN I HELP YOU,CAN I HELP YOU
112,declaritive,I LIKE KOREAN FOOD.,I LIKE KOREAN FOOD,I DRIVE CARIBBEAN FOOD,I YE RI CALL YE AMFOD,AI RA CALLED AMFOD, I WRITE KOREAN FOOD,I LIKE KOREAN FOOD,I LIKE KOREAN FOOD
113,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR DINNER,AND I OUGINA,ENJOY YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER
114,declaritive,SEE YOU ON TUESDAY.,SEE YOU ON TUESDAY,STYLE,FER ON HERS BOW,STE ONTURS DIE, SEE YOU ON TUESDAY,SEE YOU ON TUESDAY,SEE YOU ON TUESDAY
115,exclamatory,THIS FARM IS HUGE!,THIS FARM IS HUGE,THIS GUY WAS HERE,IS FINELES HERE,THIS FARM IS HE, THIS FARM IS HUGE,THIS FARM IS HUGE,THIS FARM IS HUGE
116,declaritive,LET'S MEET AT THE OCEAN PARK.,LET'S MEET AT THE OCEAN PARK,HE WAS ALWAYS AT THE OCEAN PARK,HO ASK ME AT THA OSHAN CAR,WE LAST MEETS AT THA OCEAN PARK, LAST PIECE AT THE OCEAN CURVE,LAST MEET AT THE OCEAN PARK,LET'S MEET AT THE OCEAN PARK
117,declaritive,THE GAME IS OVER.,THE GAME IS OVER,THE GAME HIS OWN,THE GAES O,THE GIANES A, THE GAME IS OVER,THE GAME IS OVER,THE GAME IS OVER
118,exclamatory,THIS TREE IS HUGE!,THIS TREE IS HUGE,THESE THREE IS NEW,I GRIN IN HE,DIS TRA IS YOU, THIS TREE IS YOU,THIS TREE IS HUGE,THIS TREE IS HUGE
