ID,Sentence_Type,Sentence_Original,STANDARD_TRANSCRIPT,vosk-model-small-en-us-0.15,Wav2vec2,HuBERT,Whisper_Base-En,Whisper_Large-v3-EN,Azure,Comprehensibility_Fair_Avg,Accentedness_Fair_Avg,Azure_Pronunciation,Kaldi_GOP,WER_vosk-model-small-en-us-0.15,WER_Wav2vec2,WER_HuBERT,WER_Base-En,WER_Large-v3-EN,WER_Azure
11,exclamatory,"YES, LET'S GO!",YES LET'S GO,YES GLASGOW,YES GLAS GO,YES LET'S GO, YES LET'S GO,YES LET'S GO,YES LET'S GO,2.51,3.05,98,11,0.67,0.33,0,0,0,0
12,interrogative,CAN WE HAVE THREE SODAS?,CAN WE HAVE THREE SODAS,HENRY HAVE THREE SO THERE'S,CAN WE HAVE TO BE SIL THUS,HENRE HAVE TO RE SOWD US, CAN WE HAVE THREE SODAS,CAN WE HAVE THREE SODAS,CAN WE HAVE THREE SODAS,2.51,4.01,95.8,19,0.8,0.8,1.2,0,0,0
13,declaritive,YOU'RE WELCOME.,YOU'RE WELCOME,HE ARRIVED COM,HERA RAT COM,YAR RAK CUB, YOU'RE A RAT COME,YOUR RECORD,YOU'RE WELCOME,3.69,6.01,62.6,7,1.5,1.5,1.5,1.5,1,0
14,interrogative,WHAT'S YOUR NAME?,WHAT'S YOUR NAME,WHAT'S YOUR NAME,ONE TURMED NAME,WHAT'S YER NAME, WHAT'S YOUR NAME,WHAT'S HER NAME,WHAT'S YOUR NAME,3.22,5.02,99.4,13,0,0.67,0.33,0,0.33,0
15,declaritive,I LIKE SOCCER.,I LIKE SOCCER,I LIKE A CIRCUS,I LIKE A SARCOURS,I LIKE A CIRCOURSE, I LIKE THE SURF COURSE,I LIKE CIRCUS,I LIKE SOCCER,4.04,7.47,95,32,0.67,0.67,0.67,1,0.33,0
16,declaritive,NOW I KNOW ABOUT MANY ANIMALS.,NOW I KNOW ABOUT MANY ANIMALS,NOW I KNOW AIRBORNE MANY ANIMALS,NOW I KNOW EBBER MANY ANMA,NOW I KNOW ABOR MANY ANIMALS, NOW I KNOW ABOUT MANY ANIMALS,NOW I KNOW ABOUT MANY ANIMALS,NOW I KNOW ABOUT MANY ANIMALS,6.01,6.98,95.2,23,0.17,0.33,0.17,0,0,0
17,declaritive,I AM SAD.,I AM SAD,I IS THAT,I OW TAT,I AW SAT, I AM SAD,I AM SAD,I AM SAD,4.99,6.49,92.8,23,0.67,0.67,0.67,0,0,0
18,interrogative,ARE YOU STILL TIRED?,ARE YOU STILL TIRED,ARE YOU STILL PIE YO,I'LL USE TALL PIE YON,ALL YOU TELL PIYO, I'LL USE TAILPILE,ARE YOU STILL TIRED,ARE YOU STILL TIRED,6.47,8,82,14,0.5,1.25,0.75,1,0,0
19,declaritive,WE HAVE OUR THIRD MESSAGE.,WE HAVE OUR THIRD MESSAGE,THE HAVE OUR THIRD,BE NO OR THORITOASSIT,WE HAVE OUR THOR DEMASSIC, WE HAVE OUR THIRD MISSION,WE HAVE OUR THIRD MESSAGE,WE HAVE OUR THIRD MESSAGE,4.99,6.01,70.8,12,0.4,1,0.4,0.2,0,0
20,declaritive,"FIFTEEN DOLLARS, PLEASE.",FIFTEEN DOLLARS PLEASE,FIFTEEN DOLLARS PLEASE,FIFTY THOU AR PLAYS,FESTIN THA OUR PLACE,FIFTY DOLLARS PLEASE,FIFTEEN DOLLARS PLACE,FIFTEEN DOLLARS PLEASE,4.04,6.98,96.4,33,0,1.33,1.33,0.33,0.33,0
21,declaritive,LET'S MEET AT THE OCEAN PARK.,LET'S MEET AT THE OCEAN PARK,VERY SOON AFTER ALL ALSO,FANSINO ATTE ORAM PA,RETINO AT TE OUAM PARK, THANKS FOR WATCHING,LET'S MEET AT THE OCEAN PARK,LET'S MEET AT THE OCEAN PARK,7.51,7.47,82.8,28,1,1,0.67,1,0,0
22,declaritive,IT'S OVER THERE.,IT'S OVER THERE,IT'S OVER THERE,IT OVER BAN,IT'S OVER THERE, IT'S OVER THERE,IT'S OVER THERE,IT'S OVER THERE,1.66,4.01,96.8,25,0,0.67,0,0,0,0
23,declaritive,LET'S GO HOME.,LET'S GO HOME,THAT'S COOL,YOREGEFOR,MAGICAL, LET'S GO HOME,LET'S GO HOME,LET'S GO HOME,3.22,4.01,75.4,22,1,1,1,0,0,0
24,declaritive,THAT'S A GOOD PRICE.,THAT'S A GOOD PRICE,THAT'S A GOOD FLIES,THATO GOOD MIE,THAT'S A GOOD PLICE, THAT'S A GOOD PLACE,THAT'S A GOOD PLACE,THAT'S A GOOD PRICE,3.22,6.01,81.8,24,0.25,0.75,0.25,0.25,0.25,0
25,declaritive,I'M READY TO GO.,I'M READY TO GO,I'M READY TO GO,I'M RUADY TO GO,I'M READY TO GO, I'M READY TO GO,I'M READY TO GO,I'M READY TO GO,1.66,4.01,100,22,0,0.25,0,0,0,0
26,declaritive,TURN RIGHT.,TURN RIGHT,GO RIGHT,OH WHY,CORIGHT, ALRIGHT,CALL ME RIGHT,TURN RIGHT,8.72,8,22.2,21,0.5,1,1,1,1,0
27,interrogative,DO YOU LIKE PASTA?,DO YOU LIKE PASTA,THREE YEAR LIKE PASSED DOWN,TO YOU LIKE PATTA,TO A YOUNG LIKE PASTAR, DO YOU LIKE PASTA,DO YOU LIKE PASTA,DO YOU LIKE PASTA,4.43,6.98,95.8,11,1,0.5,1,0,0,0
28,interrogative,HOW ARE YOU?,HOW ARE YOU,HOW ARE YOU,HOW ARE YOU,HOW ARE YOU, HOW ARE YOU,HOW ARE YOU,HOW ARE YOU,1.66,5.53,98.8,9,0,0,0,0,0,0
29,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I AS THE TO JOHN,I MATI TO JOIN,I'M HAPPY TO JOIN, I MAY HAVE BEEN TOO STRONG,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,4.04,5.02,99.4,20,1,0.5,0,1.5,0,0
30,declaritive,WE HAVE THE NEXT MESSAGE.,WE HAVE THE NEXT MESSAGE,WE HAVE DONE MASK MESSAGE,REA WIT THE NASK MASSAGE,WE HAVE A NICE MESSAT, WE HAVE A NICE MESSAGE,WE HAVE THE NEXT MESSAGE,WE HAVE THE NEXT MESSAGE,6.99,7.47,92.8,18,0.4,0.8,0.6,0.4,0,0
31,declaritive,IT'S TIME FOR DINNER.,IT'S TIME FOR DINNER,IT'S TIME FOR A FEE KNOW,AT A TIME BEFORE GINAR,AT TIME FOR DINNER, AT TIME FOR DINNER,IT'S TIME FOR DINNER,IT'S TIME FOR DINNER,3.22,7.47,75.8,20,0.75,1,0.25,0.25,0,0
32,declaritive,SOUNDS LIKE FUN.,SOUNDS LIKE FUN,SOUNDS A LITTLE LIKE YOUR PHONE,SOUNDS LITTLE WHILE YOUR FAR,SOUNDS IT LIKE A FAWN, SOUNDS A LITTLE LIKE A FARM,SOUNDS LIKE FUN,SOUNDS LIKE FUN,4.04,6.01,51.4,15,1.33,1.33,1,1.33,0,0
33,declaritive,IT'S TIME FOR DINNER.,IT'S TIME FOR DINNER,EACH TIME FOR DINNER,IT KI WHOAR DINAR,IT TIME FOR DINNER, IT'S TIME FOR DINNER,IT'S TIME FOR DINNER,IT'S TIME FOR DINNER,3.22,6.01,93,19,0.25,1,0.25,0,0,0
34,declaritive,GOOD AFTERNOON.,GOOD AFTERNOON,GOOD AFTERNOON,LAV THEN YUN,GDAFTENUN, GOOD AFTERNOON,GOOD AFTERNOON,GOOD AFTERNOON,4.04,6.49,61,7,0,1.5,1,0,0,0
35,interrogative,IS THE MUSEUM CLOSED TOMORROW?,IS THE MUSEUM CLOSED TOMORROW,THERE THERE ARE IN A YOUNG GIRLS TOMORROW,AND THAT IL NO THE ON CLOTE TO MORROW,AN THAT I NE VE UNCLOSED TO MORROW, THERE'S THE MUSEUM CLOSED TOMORROW,IS THE MUSEUM CLOSED TOMORROW,IS THE MUSEUM CLOSED TOMORROW,4.99,6.01,61.6,23,1.4,1.6,1.6,0.2,0,0
36,declaritive,THE ANIMAL'S BONES ARE AT THE MUSEUM.,THE ANIMAL'S BONES ARE AT THE MUSEUM,ME ANYMORE AS BRONZE ARE AT THE MUSEUM,THE ANIMAS BONES AR ET THE NUW ZEAM,THE ANIMALS BONS ARE AT THE MUSEUM, THE ANIMALS BONES ARE AT THE MUSEUM,THE ANIMALS BONES ARE AT THE MUSEUM,THE ANIMALS BONES ARE AT THE MUSEUM,4.04,6.49,87.4,29,0.57,0.71,0.29,0.14,0.14,0.14
37,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOLLY,I'M HAPPY TO JOY, I'M HAPPY TO JOIN YOU,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,3.22,6.01,100,24,0,0.25,0.25,0.25,0,0
38,declaritive,THIS ANIMAL IS BIG AND SCARY.,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BEING AND CARE,THIS ANIMAL IS BIG AND SCARE,THIS ANIMAL IS BIG AND SCARE, THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY,1.66,3.54,86.4,24,0.33,0.17,0.17,0,0,0
39,declaritive,IT IS SMART.,IT IS SMART,HE THIS IS SMART,EGISTHIS MARK,IT IS ESMARK, IT IS SMART,HEY THIS IS SMART,IT IS SMART,3.22,5.02,93.4,37,0.67,1,0.33,0,0.67,0
40,interrogative,DO YOU WANT SOME CAKE?,DO YOU WANT SOME CAKE,THE ON SOUNDCLOUD,DO RUNS DOWN CAT,DO YO LIN SOM KAG, DO YOUR RUNS OKAY,DO YOU WANT SOME CAKE,DO YOU WANT SOME CAKE,7.51,6.49,79.8,18,1,0.8,0.8,0.8,0,0
41,exclamatory,IT'S GOOD TO SEE YOU!,IT'S GOOD TO SEE YOU,AIR IT'S GOOD TO SEE YOU,AND GOOD TO SEEYOU,A' GOOD TO SEE YOU, IT'S GOOD TO SEE YOU,IT'S GOOD TO SEE YOU,IT'S GOOD TO SEE YOU,4.04,7.47,88.8,32,0.2,0.6,0.2,0,0,0
42,interrogative,ARE YOU READY TO GO INSIDE?,ARE YOU READY TO GO INSIDE,FOLLOW YOUR LEAD TO GO INSIDE,A A LUDY DO GO HE THOUGHT,FOR E LOVY TOO GO IN SA, ARE YOU READY TO GO INSIDE,ARE YOU READY TO GO INSIDE,ARE YOU READY TO GO INSIDE,4.99,8,75,16,0.5,1,1,0,0,0
43,exclamatory,ENJOY YOUR DINNER!,ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY EURADINA,ENJOY YOUR DINNER, ENJOY YOUR DINNER,ENJOY YOUR DINNER,ENJOY YOUR DINNER,1.66,4.01,98.2,16,0,0.67,0,0,0,0
44,declaritive,THIS ANIMAL IS BIG AND SCARY.,THIS ANIMAL IS BIG AND SCARY,THIS ANYMORE AS BIG AND SCARY,THIS ANIMAL IS BIG A SCARRY,THIS ANIMAL IS BIG AN SCURRY, THIS ANIMAL IS BIG AS SCURRY,THIS ANIMAL IS BIG AND SCARY,THIS ANIMAL IS BIG AND SCARY,4.04,6.49,86.4,31,0.33,0.33,0.33,0.33,0,0
45,declaritive,I LIKE SOCCER.,I LIKE SOCCER,I LIVESTOCK CORE,IRONIE SACKOR,AYI SACCOR, I LIKE SOCCER,I LIKE SOCCER,I LIKE SOCCER,3.22,5.02,98.2,37,0.67,1,1,0,0,0
46,declaritive,THANK YOU VERY MUCH.,THANK YOU VERY MUCH,THANK YOU VERY MUCH,THANK YOU VERY MUCH,THANK YOU VERY MUCH, THANK YOU VERY MUCH,THANK YOU VERY MUCH,THANK YOU VERY MUCH,1.66,6.01,100,5,0,0,0,0,0,0
47,interrogative,CAN YOU GO TO THE STADIUM?,CAN YOU GO TO THE STADIUM,CAN YOU GO DO THAT TOO YEAH,CAN YE GO TO THU STADYA,CAN YOU GO TO DHOSTADIA, CAN YOU GO TO THE STADIUM,CAN YOU GO TO THE STADIUM,CAN YOU GO TO THE STADIUM,1.66,4.01,97,11,0.67,0.5,0.33,0,0,0
48,interrogative,ANYTHING ELSE?,ANYTHING ELSE,ANYTHING ELSE,ANYTHING ELSE,ANYTHING ELSE, I'M GOING TO CUT IT,ANYTHING ELSE,ANYTHING ELSE,1.66,4.01,99.4,16,0,0,0,2.5,0,0
49,declaritive,THAT'S A GOOD PRICE.,THAT'S A GOOD PRICE,THAT'S A GOOD PRICE,THAT'S A GOOD PRIZE,THAT'S A GOOD PRICE, THAT'S A GOOD PRICE,THAT'S A GOOD PRIZE,THAT'S A GOOD PRICE,3.22,6.01,93.8,24,0,0.25,0,0,0.25,0
50,declaritive,IT IS ON THE FOOTBALL TEAM.,IT IS ON THE FOOTBALL TEAM,IN THE SOUND OF FOR FOURTEEN,AND TEY SOM THAT FORFAR CAME,AN DEY SON THE FULFALL CAME, AND THIS TIME THE 414,IT IS TIME FOR 14,IT IS ON THE FOOTBALL TEAM,4.43,6.98,76.8,25,1,1,0.83,0.83,0.67,0
51,declaritive,HERE YOU GO.,HERE YOU GO,HERE YOU GO,HEARNIN GO,HERE O GO, HERE YOU GO,HERE YOU GO,HERE YOU GO,2.51,5.53,99.4,24,0,0.67,0.33,0,0,0
52,declaritive,THEN TURN LEFT.,THEN TURN LEFT,THEY TURN LEFT,BON CAN RACK,BON TURN RAT, THEN TURN LEFT,THEN TURN LEFT,THEN TURN LEFT,2.51,3.05,91.6,13,0.33,1,0.67,0,0,0
53,exclamatory,WATCH OUT!,WATCH OUT,WATCH OUR,WHAT  OU,WATCH OUT, WATCH OUT,WATCH OUT,WATCH OUT,2.51,5.53,96,5,0.5,1,0,0,0,0
54,declaritive,I'M SO HUNGRY.,I'M SO HUNGRY,OH SO HUNGRY,ANME SO HUNGRY,I'M SO HUNGRY, I'M SO HUNGRY,I'M SO HUNGRY,I'M SO HUNGRY,1.66,1.95,98.2,12,0.33,0.33,0,0,0,0
55,declaritive,HE IS FROM KOREA.,HE IS FROM KOREA,IS RUN KOREA,HE IS FROM COLY,HE IS FROM CORIA, HE IS FROM KOREA,HE IS FROM KOREA,HE IS FROM KOREA,3.69,5.53,82.8,27,0.5,0.25,0.25,0,0,0
56,exclamatory,WATCH OUT!,WATCH OUT,WATCH OUT,FOR A CHILD,WATCH OUT, WATCH OUT,WATCH OUT,WATCH OUT,2.51,2.51,100,8,0,1.5,0,0,0,0
57,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN, I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,3.22,6.01,100,23,0,0,0,0,0,0
58,interrogative,WHAT'S YOUR FAVORITE SPORT?,WHAT'S YOUR FAVORITE SPORT,WHAT YOU SAY BURST FORTH,WHAT YOUR SABOR FORTH,WHAT YOUR SABORS FOR, WATCH YOUR FABLES FOR IT,WHAT'S YOUR FAVORITE SPORT,WHAT'S YOUR FAVORITE SPORT,4.99,6.49,81,17,1.25,0.75,0.75,1,0,0
59,declaritive,I'M READY TO GO.,I'M READY TO GO,I AM READY TO GO,I'M READY TO GO,I'M READY TO GO, I'M READY TO GO,I'M READY TO GO,I'M READY TO GO,1.66,2.51,99.4,35,0.5,0,0,0,0,0
60,declaritive,THE ANIMAL CONTEST IS OVER.,THE ANIMAL CONTEST IS OVER,THE AN AMERICAN COMBAT IS OVER,THE ELEMAR COMPAST IS OVER,THE ANAMAR COMPAST IS OVER, THE LMR COMPASS IS OVER,THE NMR CONTEST IS OVER,THE ANIMAL CONTEST IS OVER,3.69,7.47,84,23,0.6,0.4,0.4,0.4,0.2,0
61,interrogative,WHAT ANIMAL IS THAT?,WHAT ANIMAL IS THAT,LOT OF EARNERS IS THAT,WHAT ANIMERS IS THA,WHAT ANIMALRS IS THAT, WHAT ANIMALS IS THAT,WHAT ANIMALS IS THAT,WHAT ANIMAL IS THAT,2.51,7.47,79.8,35,0.75,0.5,0.25,0.25,0.25,0
62,declaritive,"YES, PLEASE.",YES PLEASE,YES PLEASE,YES TO LIS,YES PAE, YES PLEASE,YES PLEASE,YES PLEASE,2.51,5.02,97,0,0,1,0.5,0,0,0
63,interrogative,WHO'S THERE?,WHO'S THERE,WHO'S THEY,FOR ER,O A, OOF,WHO'S THERE,WHO'S THERE,3.22,4.01,70.8,8,0.5,1,1,1,0,0
64,exclamatory,IT SURE IS!,IT SURE IS,IT SURE IS,IT HOUR IS,IT SHURE IS, IT SURE IS,IT SURE IS,IT SURE IS,3.22,6.01,72.6,12,0,0.33,0.33,0,0,0
65,interrogative,WHAT DO YOU EAT IN KOREA?,WHAT DO YOU EAT IN KOREA,WHY DO YOU HE USED IN KOREA,BAT DO YOU IT IN CORIA,WHAT DO YOU EAT IN CORIA, WHAT DO YOU EAT IN KOREA,WHAT DO YOU EAT IN KOREA,WHAT DO YOU EAT IN KOREA,3.22,6.01,76.2,20,0.5,0.5,0.17,0,0,0
66,interrogative,CAN YOU HELP US?,CAN YOU HELP US,CAN YOU HAVE BOSS,CAN YOU HAVE BOSS,CAN YOU HAV BOS, CAN YOU HAVE BOTH,CAN YOU HELP US,CAN YOU HELP US,2.51,5.02,95.2,15,0.5,0.5,0.5,0.5,0,0
67,interrogative,HOW'S THE WEATHER?,HOW'S THE WEATHER,OH OKAY,A THE RED,OU THE RET, THE,HOW TO,HOW'S THE WEATHER,2.51,4.01,54.8,19,1,0.67,0.67,0.67,1,0
68,interrogative,ARE YOU STILL TIRED?,ARE YOU STILL TIRED,WHY IS THERE A TIRE,ITE CIR,ARE YOU TEIR TIRE, ARE YOU STILL TIRED,ARE YOU STILL TIRED,ARE YOU STILL TIRED,3.69,6.01,80.2,17,1.25,1,0.5,0,0,0
69,declaritive,IT'S RAINY.,IT'S RAINY,THE TRAIN,E TRANY,INTHRANE, IT'S RAIN,IT'S RAINING,IT'S RAINY,3.69,5.53,92.8,28,1,1,1,0.5,0.5,0
70,declaritive,THE ANIMAL CONTEST IS OVER.,THE ANIMAL CONTEST IS OVER,THE ANIMAL CONTEST IT'S OVER,GE ANOL COMPAST EAT OLV,DE ANAL CONTEST IT O, THE ANIMAL CONTEST IS OVER,THE ANNUAL CONTEST IS OVER,THE ANIMAL CONTEST IS OVER,3.69,6.98,75.4,25,0.2,1,0.8,0,0.2,0
71,interrogative,CAN YOU GO TOMORROW MORNING?,CAN YOU GO TOMORROW MORNING,I'M YOUR CALL TOMORROW MORNING,CAN YOU GO TO MATO MONEY,CAN YOU GO TO MORROW MORNIN, CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING,CAN YOU GO TOMORROW MORNING,1.66,5.53,98.2,22,0.6,0.6,0.6,0,0,0
72,declaritive,LET'S GO TOGETHER.,LET'S GO TOGETHER,THAT'S GO TO DEAD,LET GO TOGETH,LET GO TOGETHE, LET'S GO TOGETHER,LET'S GO TOGETHER,LET'S GO TOGETHER,2.51,4.5,76.8,18,1,0.67,0.67,0,0,0
73,interrogative,IS KUMAR THERE?,IS KUMAR THERE,HIS KUMAR THERE,IS COMAR THER,EIS CUMAR THERE, IS KUMALDAIR,IS KUMAR THERE,IS KUMAR THERE,1.66,4.5,93.4,20,0.33,0.67,0.67,0.67,0,0
74,interrogative,WHAT BIRD IS THAT?,WHAT BIRD IS THAT,FIVE NUMBERS EAT THAT,WILE VERSE ES DEAD,WAT BURS IS THAT, BLACK VS EASTAT,WHAT VERSE IS THAT,WHAT BIRD IS THAT,4.43,6.98,98.6,26,0.75,1,0.5,1,0.25,0
75,interrogative,DO YOU SEE THOSE TEETH?,DO YOU SEE THOSE TEETH,DO YOU SEE IT LAST KEITH,DO YOU SEE DOLLS TEE,DO YOU SEE THOSE TEET, DO YOU SEE THOSE TEETH,DO YOU SEE THOSE TEETH,DO YOU SEE THOSE TEETH,2.51,5.53,85.6,19,0.6,0.4,0.2,0,0,0
76,declaritive,SEE YOU THEN.,SEE YOU THEN,K YOU DAN,THEUDAM,SE YOU DAN, SEE YOU THEN,SEE YOU THEN,SEE YOU THEN,3.22,5.53,99.4,13,0.67,1,0.67,0,0,0
77,declaritive,"NOT BAD, THANKS.",NOT BAD THANKS,NOT BAD BANK,NOT BAD THING,NOT BAD THANG, NOT BAD THANKS,NOT BAD THANKS,NOT BAD THANKS,4.04,6.98,73.4,10,0.33,0.33,0.33,0,0,0
78,declaritive,SEE YOU ON TUESDAY.,SEE YOU ON TUESDAY,ON TUESDAY,DE ON TO SAY,SEE YOU ON TUESDAY, SEE YOU ON TUESDAY,SEE YOU ON TUESDAY,SEE YOU ON TUESDAY,2.51,3.54,100,20,0.5,1,0,0,0,0
79,declaritive,I'M SO HUNGRY.,I'M SO HUNGRY,I'M SO HUNGRY,IAM TO HUNGRY,IAM SO HUNGRY, I'M SO HUNGRY,I'M SO HUNGRY,I'M SO HUNGRY,2.51,4.01,95.8,13,0,0.67,0.33,0,0,0
80,declaritive,DON'T WORRY.,DON'T WORRY,SO LONELY,THOU MARLAT,TO MARLY, DON'T WORRY,DON'T WORRY,DON'T WORRY,4.99,7.47,82.6,30,1,1,1,0,0,0
81,exclamatory,SEE YOU THEN!,SEE YOU THEN,THEY THERE,E THOU,ABON, SEE YOU THEN,SEE YOU THEN,SEE YOU THEN,2.51,4.5,88.6,13,1,1,1,0,0,0
82,declaritive,"SORRY, I CAN'T.",SORRY I CAN'T,SORRY I CAN'T,SORRY I CAN'T,SORRY I CAN'T, SORRY I CAN'T,SORRY I CAN'T,SORRY I CAN'T,2.51,5.02,95.6,9,0,0,0,0,0,0
83,interrogative,WHO ARE THE WINNERS?,WHO ARE THE WINNERS,WHO ARE GIRL WE KNOW,WHO OU GO WE KNOW,WHO ARE TO WE KNOW, WHO ARE THE RENO,WHO ARE THE WIENERS,WHO ARE THE WINNERS,5.55,8,66.8,18,0.75,1,0.75,0.25,0.25,0
84,declaritive,I'M HAPPY TO JOIN.,I'M HAPPY TO JOIN,I'M HAPPY TO DOREEN,I'M HAPPY TO JOIN,I AM HAPPY TO JOIN, I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,I'M HAPPY TO JOIN,2.51,6.01,100,23,0.25,0,0.5,0,0,0
85,interrogative,CAN YOU READ THE MESSAGE?,CAN YOU READ THE MESSAGE,THE LAST YEAR,O THE MASSY,AN YOU THE MASSE, AND YOU YOU MUST SEE,HELLO I'M MASSEY,CAN YOU READ THE MESSAGE,3.22,6.01,57.2,26,1,0.8,0.6,0.8,1,0
86,interrogative,CAN I HELP YOU?,CAN I HELP YOU,CARRIER VIEW,CAN I ELP BE,CAN I HELPO, CAN I HELP YOU,CAN I HELP YOU,CAN I HELP YOU,1.66,3.54,97.6,19,1,0.5,0.5,0,0,0
87,declaritive,LET'S WORK TOGETHER.,LET'S WORK TOGETHER,AND TO WORK TOGETHER,AT WORK TOGETHER,AT WORK TOGETHER, THAT'S WORK TOGETHER,LET'S WORK TOGETHER,LET'S WORK TOGETHER,3.69,4.5,44.8,15,0.67,0.33,0.33,0.33,0,0
88,declaritive,THAT COW HAS A LONG TAIL.,THAT COW HAS A LONG TAIL,YEAH BUT HOW HAS ALLOWED PAYABLE,GAFCAW HA A LAMCALE,THAT COW HAS A LONG PAY OL, THAT COW HAS A LONG TAIL,THAT COW HAS A LONG TAIL,THAT COW HAS A LONG TAIL,2.51,5.02,93.8,11,1,0.83,0.33,0,0,0
89,interrogative,ARE YOU STILL TIRED?,ARE YOU STILL TIRED,OR USE THE IT'S TIME,ARE YUSTET TIY,ARE YOU STE TIR, ARE YOU STILL TIRED,ARE YOU STILL TIRED,ARE YOU STILL TIRED,3.69,6.01,80.4,14,1.25,0.75,0.5,0,0,0
90,declaritive,I HAVE NO IDEA.,I HAVE NO IDEA,NO IDEA,I KNOW NO IKE,I HAV NO IDEA, I HAVE NO IDEA,I HAVE NO IDEA,I HAVE NO IDEA,3.69,6.49,98.2,16,0.5,0.5,0.25,0,0,0
91,exclamatory,LET'S CELEBRATE!,LET'S CELEBRATE,THAT'S A LOVELY,AN I SAT O BLAM,NACSER OF LAT, LET'S CELEBRATE,LET'S CELEBRATE,LET'S CELEBRATE,3.22,6.98,25.6,25,1.5,2.5,1.5,0,0,0
92,declaritive,SOUNDS LIKE FUN.,SOUNDS LIKE FUN,SOUNDS LIKE FUN,FOUND WHI FORM,SSOUNDS LIKE FUN, SOUNDS LIKE FUN,SOUNDS LIKE FUN,SOUNDS LIKE FUN,2.51,5.02,98.2,20,0,1,0.33,0,0,0
93,declaritive,I'M BUSY.,I'M BUSY,I MADE THE,I'M BITTY,I AM BEDA, I'M BUSY,I'M BUSY,I'M BUSY,3.22,4.5,87.4,20,1.5,0.5,1.5,0,0,0
